genus	BB	BD	BN	CS	CT	FD	FJ	FL	JTW	LH	WS	WZ	XZY	YJC	YW	YY	ZG	ZX	BB2	BD2	BN2	CS2	CT2	FD2	FJ2	FL2	JTW2	LH2	WS2	WZ2	XZY2	YJC2	YW2	YY2	ZG2	ZX2	BB3	BD3	BN3	CS3	CT3	FD3	FJ3	FL3	JTW3	LH3	WS3	WZ3	XZY3	YJC3	YW3	YY3	ZG3	ZX3
g__Newhousia	0	0.001099374	1.8631E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000833234	3.76053E-05	3.50471E-05	2.22772E-05	0	0.000572859	9.82801E-05	0	0.000186245	3.29913E-05	0.000340958	0	5.34502E-05	0.000212217	0	0	0	0	0.000399521	0.000504388	0	0	0	0	0	0	0	0.002413793	0	0	4.649E-05	0.001084118	0	0	0.000251036	0	0
g__Feldmannia	0.000224306	0	0.015277416	0.00282324	0.000237394	0	0.001442555	0	0.000689941	0.001295045	0	0	0.000154875	0.002506879	0	0	0.000151947	0.001309368	0.000451264	0.00049066	0	0.000751337	0.000275821	0.00031941	0.00029859	0.000239457	0.000296922	0	0.000157427	0.000213801	0.000212217	0.000184032	9.92753E-05	0.000817017	0.000237932	0.000239712	0	0	0	0	0	0	0.00017794	0	0	0	0	0.005671781	0	0.000137155	0	0	0	3.05157E-05
g__Cladosiphon	0	0	0	0	0	0	0	0	0	0	7.07264E-05	0.000190195	2.58124E-05	0.000244574	8.97505E-05	0.000786095	0	0	0.000338448	0	0.008933146	0.002825029	0.002397522	7.37101E-05	6.89053E-05	0.005055208	0.011283033	0.003161614	0.000131189	0.000454327	0.00314788	0.001656289	4.96376E-05	0.000554405	0.000178449	0.00019976	0.001462726	0	0.000124016	0.00023487	0	0	0	0	0.008448276	0.001878736	6.00402E-05	0	4.92781E-05	0.000960088	0	0	0	0
g__Coilodesme	0	4.77989E-05	0	0	0	0.001777462	0	2.72799E-05	0.000137988	0	0.000424358	4.75489E-05	0	0	0	0	0	0.000119033	3.76053E-05	0.000385519	0	3.00535E-05	8.4868E-05	9.82801E-05	0	0.000266064	0	0	0.000131189	0	3.53694E-05	0	0.00042192	2.91792E-05	0	3.99521E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Eudesme	0.010318066	0.00334592	0.019469389	0.038103123	0.003529263	0.012916222	0.007521896	0.018714025	0.002318201	0.006362613	0.342386307	0.030288622	0.011176789	0.073188627	0.049991025	0.014106035	0.012535613	0.002856803	0.000150421	3.50471E-05	0.001603956	0.000841498	0.009293049	0.004029484	0	0.005746974	0.010590215	0.005362346	5.24755E-05	0.002138008	7.07389E-05	0	0	8.75376E-05	2.97415E-05	0.010627247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Haplogloia	0	4.77989E-05	3.7262E-05	0	0	0.000394992	0	0	0.000358769	0	0	0	0.00010325	0	0	4.36719E-05	3.79867E-05	0	3.76053E-05	0	0	0	0	0	2.29684E-05	0	0	0	0	0	0.000141478	0	0	0	5.94831E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Hecatonema	0	0	0	0	1.58263E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000300842	0.000105141	8.91087E-05	9.01605E-05	8.4868E-05	9.82801E-05	0.000137811	0.000319276	0.001781531	0	0.00023614	0.002084558	0	0	0	0.000758659	0	0.002197363	0	0.00486721	0	0	0	0	0.001267822	0.000125008	0	0.003672075	0	0	0	0	0.000702872	0	0.000604595	0
g__Heterosaundersella	0	0	0	0	0	0	0	0	0	5.63063E-05	0	0	0	0	0	0	0	0	0.00767148	0	0	0	0	0	0.000574211	0	0	0	0.000314853	0	0	0.00015336	0	0	0	0	0	0	0	0	0	0	6.67275E-05	0	0	0	0	0	0	0	0	0	0	3.05157E-05
g__Laminariocolax	0	0.011901917	3.7262E-05	0	0.000142437	0	0	5.45598E-05	0	0	0	0	2.58124E-05	6.11434E-05	0	0	0.00011396	0	0.000225632	0.00024533	0	0	0	0.00014742	0.000137811	0	0	0	0.000262378	2.67251E-05	0.00063665	0.000705457	0.00168768	0.000408509	0	0.000119856	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000548622	0	0	0	0
g__Laminarionema	0	0	0	0	0	0	0	0	0	0	7.07264E-05	0	2.58124E-05	0	0	8.73439E-05	0	0	0.001015343	0	0	0	2.1217E-05	4.914E-05	0.000183748	0.000266064	6.59826E-05	3.09962E-05	0.000131189	0.000240526	0.000212217	0	0	5.83584E-05	0.000208191	3.99521E-05	0	0	0	0	0	3.34091E-05	0	0	0	0	0	0	0.00024639	6.85777E-05	0.001733752	0	0	0
g__Liebmannia	0	9.55977E-05	0	0	0	0	0	0	0	0	0	0	5.16249E-05	0	0	0	0	0	7.52106E-05	0	0	3.00535E-05	4.2434E-05	0.00014742	9.18738E-05	5.32127E-05	0	0	5.24755E-05	0.000881928	3.53694E-05	0	0	0.000466867	0	0.000359569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Mesogloia	0	0.000143397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.52106E-05	7.00943E-05	0	0.000180321	0	2.457E-05	2.29684E-05	0.002367966	3.29913E-05	0	0	0	0.00060128	9.20161E-05	0.000496376	0.001225526	0.000267674	3.99521E-05	0	0	0.000992125	0.000313161	0	0.000116932	0.00080073	0.00143759	0.000344828	8.53971E-05	0.000180121	0.00102278	0.000739171	0.008846523	0.000843447	0.010261077	9.30146E-05	0.001861459
g__Myriogloea	0	9.55977E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.020720517	0	4.45543E-05	0.000240428	0.000106085	0.00014742	2.29684E-05	0.000399095	9.8974E-05	0.000433947	0.000104951	0.000133626	0.000565911	0	2.48188E-05	0.000671121	0	0	0	0	3.10039E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.05157E-05
g__Punctaria	8.97223E-05	0	0	0	0	0	0	0	0	0	0	9.50977E-05	5.16249E-05	0	0	0	0	0	0.000526474	0.000595801	0.000334158	6.0107E-05	6.3651E-05	0.00029484	6.89053E-05	0.001144073	0.000164957	0.000278966	0.000157427	0.000347426	0.000106108	0.00015336	4.96376E-05	0.000175075	0.000594831	0.000599281	0	0	0	0.000104387	0	0	0	0	0	0	0	9.298E-05	0	0	0	0.000251036	0	0.000610314
g__Colpomenia	4.48612E-05	4.77989E-05	0.002086671	4.24547E-05	7.91315E-05	0	0	0.000354639	0.000248379	8.44595E-05	0.000282905	0	0	0	0	0	0	0	0.041629061	0.000630848	0.001804451	0.002584601	0.004985997	0.000515971	0.000252653	0.003751497	0.003925967	0.005269357	0.002099021	0.002298359	0.000389064	9.20161E-05	0.000148913	0.000320971	0.000267674	0.000639233	0	0	0.003131395	0.000313161	0.000104178	0.000150341	2.22425E-05	0.000937559	0	0	0.000540362	0.00018596	4.92781E-05	0.000205733	0.000937163	0.000753107	0	0.001739396
g__Hydroclathrus	0.000134583	0	3.7262E-05	2.12274E-05	0.000142437	0	0	0.0001364	2.75976E-05	0.001463964	0.000141453	9.50977E-05	0	0.000122287	0	4.36719E-05	0	0.000476134	7.52106E-05	0	0	0.000180321	0.000106085	4.914E-05	0	0	6.59826E-05	0.004432459	0	0	3.53694E-05	0	0	0.000145896	0	7.99041E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.37163E-05	0	0	0
g__Manzaea	0	0	0	0	0	0	0	0.000436479	0	0	0	0.000903428	0.008518107	0.000856007	0.001077006	0.00157219	0.000683761	0.002737769	0.002481949	0	0.000267326	9.01605E-05	0	4.914E-05	0	0	0	0	0.000734657	0	0.000282955	3.0672E-05	0.000322645	0.000700301	2.97415E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Petalonia	4.48612E-05	0	0.000111786	0	0.000332352	0	0	0	0	0	0	0	0	0	0	0	0	0	7.52106E-05	7.00943E-05	0	0	0	0.00027027	4.59369E-05	0.00029267	0.000362905	0	2.62378E-05	0.000160351	0	3.0672E-05	4.96376E-05	0.000291792	0	7.99041E-05	0	0	0.000124016	0	0	3.34091E-05	0	0	0	0	6.00402E-05	0.00018596	0	0	0	0.000219656	0	0
g__Planosiphon	4.48612E-05	9.55977E-05	0.000204941	0	7.91315E-05	0.000118497	0	0	0	0	0	0	0	0	8.97505E-05	0	3.79867E-05	0.000833234	0.013086643	0.000175236	0.001381185	0.004207489	0.006577272	0.005012285	2.29684E-05	0.010722363	0.002540332	0.001270845	0	0.005211396	0.000106108	0.000122688	0.00042192	0.001867468	2.97415E-05	0.033120256	0	0	0	0	0	0	0	0	0	0	3.00201E-05	0	0	0	0	0	0	0.000518767
g__Scytosiphon	0	0.005305674	0	2.12274E-05	0.00012661	0.001066477	0	0.00324631	0	0	0	0	2.58124E-05	0.000122287	0.000538503	4.36719E-05	0.00011396	0	0.002068291	0.000105141	0.001002473	0.000180321	0.000127302	0.00034398	0.000160779	0.001383531	0.000593844	0.000464943	0.000734657	0.000775028	0.00438581	0.003159218	0.000670108	0.000875376	0.00172501	0.000239712	0	0	0	7.82901E-05	0	0	2.22425E-05	0.001625102	0	0	6.00402E-05	0.00023245	4.92781E-05	0.00267453	0	6.27589E-05	0	0
g__Tronoella	0.029787807	0.000573586	0.001024705	0.000827867	4.74789E-05	0.002468697	0.000515198	0.001418556	0.00046916	0.001182432	0.004172855	0.006799486	0.01339666	0.002201162	0.007000539	0.001834221	0.001063628	0.000119033	0.001353791	0	0	0	0.000318255	0	0	0	6.59826E-05	0.000340958	0.00047228	0	0.000141478	6.1344E-05	7.44565E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Durvillaea	0	4.77989E-05	0	0	1.58263E-05	0	0	0	0	0	7.07264E-05	0	0	0	0	0	0	0	0.000338448	0.000385519	2.22772E-05	0	0.000127302	0	0	0	0	0.0016428	0	5.34502E-05	0	0	2.48188E-05	0.000204254	0	0	0.000353072	0	0	0	0	0	0	0	0.000344828	0.000170794	0	0	0	0	0	0	0	0
g__Agarum	0	9.55977E-05	0	0	0	3.94992E-05	0	0	0	0	0	0	0	0	0	0	0	0	3.76053E-05	0	0.003475239	0	0	0	0	0	0	3.09962E-05	0	0	0	0	0	0	5.94831E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Neoagarum	0	0	0	0	3.16526E-05	0	0	0	0	0	7.07264E-05	0	0	0	8.97505E-05	0	0	0	7.52106E-05	3.50471E-05	0	0	0	0.00022113	0	0	0	0	2.62378E-05	0	0.000176847	0.000337392	7.44565E-05	0	5.94831E-05	0	0	0	0.000775098	0.000365354	0	0.000584659	8.897E-05	0	0	0.000170794	0.001200805	9.298E-05	0	0	0	3.13794E-05	0	0.000610314
g__Macrocystis	0	0.000621385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.76053E-05	0.000455613	0	0	0.002100484	9.82801E-05	6.89053E-05	0.000212851	0	0	0.001600504	0	3.53694E-05	0.00015336	0.000148913	0	2.97415E-05	0	0	0	0	0.000104387	0	0	0	0.000125008	0	0	0.000810543	0	0	0	0	0	9.30146E-05	0
g__Saccorhiza	0	0	0	0	0	0	0	0	0	0	0	0	0.000258124	0	0	0	0	0	0.004888688	0.000771037	4.45543E-05	0	6.3651E-05	0.000638821	0.000712022	0	3.29913E-05	9.29887E-05	5.24755E-05	0	0.000106108	0	2.48188E-05	0.001021272	0	0.001717938	0	0	0	7.82901E-05	0	6.68181E-05	2.22425E-05	0.000218764	0	0	3.00201E-05	0.00213854	0	0	0	0	0	0.000549283
g__Bachelotia	0	0	0	0	0	0	0	0	0	0	0.000141453	0.000237744	0	0	0	4.36719E-05	0	0	3.76053E-05	0.000140189	0	0	0	4.914E-05	0	0	0.000263931	0	0	0	0	0	0	0	0	7.99041E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Chattonella	4.48612E-05	0	0	0	0	0	0.001030397	0	0.001214296	5.63063E-05	0	0.000285293	2.58124E-05	0	8.97505E-05	0.000611407	0	0	7.52106E-05	0	0.000267326	0.000180321	0.000190953	2.457E-05	4.59369E-05	0.000691765	0.002870245	0.000402951	5.24755E-05	0.001763857	0.001308669	0.000276048	0	0.001254705	5.94831E-05	0.000159808	0	0.008006207	0.001023129	0.000313161	0.001041775	0.003107043	0.00831869	0.00112507	0	0	0.010266879	0.00450953	0.006307594	0.032642985	0.011761398	0.003608636	0.035345549	0.000305157
g__Heterosigma	0	0	0	0	0	9.87479E-05	0	0	0	0	0	0	0	0	0	0	0	0	3.76053E-05	0	2.22772E-05	3.00535E-05	0	0.00046683	4.59369E-05	5.32127E-05	0	0	5.24755E-05	0.000240526	0.000141478	3.0672E-05	4.96376E-05	0	2.97415E-05	0.000239712	0	0	0	0	0	0	0	0.00015626	0	0	3.00201E-05	0	0	0	0	0.001788628	0	0
g__Haramonas	0	0	0	0	0	1.97496E-05	0	0	0	0	0	0.000285293	0	0	0	0.000131016	0	0	0.003798135	0.003294431	0.014792043	0.008324818	0.011987609	0.000884521	0.000482337	0.004123986	0.042063937	0.041534933	0.001574266	0.001015554	0.005128568	0.00257645	0.003226447	0.000262613	0.007911251	0.000239712	0	0.000282157	0.005828734	0.234609463	0.034066049	0.10899706	0.001178852	0.043315207	0.007241379	0.03176772	0.001951307	0.005299861	0.000147834	0.000137155	0.002998922	0.000910004	0	0.010375343
g__Poterioochromonas	0	0	0	0	0	1.97496E-05	0	0	0	0	0	0.000665684	0	0	0	0.000131016	0	0	0.000188026	3.50471E-05	0.000178217	0.000300535	0.000254604	0.00012285	0	0.000159638	0	0.000402951	0.000157427	0	0	0	0	2.91792E-05	0	0	0	0	0.000124016	0.00015658	0	0	0	0.000125008	0	0	0	0.00032543	0	0	9.37163E-05	0	0	0
g__Acrispumella	0	0	0.000260834	8.49095E-05	3.16526E-05	0	0	0.000218239	0	0.000281532	0	0	0	0	0	0	0	0	7.52106E-05	0	0	0	4.2434E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001163898	0	0.000913385	0	0.000300682	0.001245579	9.37559E-05	0	0	0.000510342	0.00051139	0.000295668	0.002811686	0.002998922	0.000125518	0.002092829	0
g__Mallomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000119033	0.000338448	0	0	3.00535E-05	6.3651E-05	0.000761671	0	0	0.003563063	0.005176368	0	0	0.000672019	6.1344E-05	0	0	2.97415E-05	0.000119856	0	0	0	0	0	0	4.4485E-05	0.001375086	0	0	0.00012008	4.649E-05	4.92781E-05	0	4.68582E-05	0.002102422	4.65073E-05	0
g__Synura	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000131016	0	0	0.005227136	0.000140189	0.007574239	0.018783435	0.009717389	0.002457002	6.89053E-05	0.030437675	0.00946851	0.005207365	0	2.67251E-05	0.002334383	0.00030672	0.000148913	5.83584E-05	0.000178449	0.000359569	5.04388E-05	0	0.000341043	0	0	1.67045E-05	0.009542027	0.000531283	0	0	0.001470986	0.00032543	9.85562E-05	0.000274311	0.001546319	0.006777959	0.002371872	0.00149527
g__Chrysoparadoxa	0	0	0	0	0	0	0	0.00016368	0	0	0	0	0	0	0	0	0	0	3.76053E-05	0	0.000289603	0.000240428	2.1217E-05	0.00019656	0	0.000212851	0	0.000588928	0.000550993	0	0.000212217	9.20161E-05	0.000273007	0.000320971	0	0	0	0	0	0.001722383	0.000104178	0	0.000111212	0.00031252	0	0.000853971	0	0.00013947	9.85562E-05	6.85777E-05	0	3.13794E-05	0	3.05157E-05
g__Limnomonas	0	0	0	0	0	0	0	0	0.00046916	0.000394144	0	0	0	0.000244574	0	0.000786095	0	0	0.002933213	0	0.000846533	0.002614654	6.3651E-05	0.001425061	0.000229684	0.002367966	0.003266141	9.29887E-05	0	0.001389705	0	0.000368064	2.48188E-05	0.000204254	0.000178449	0.001717938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001686894	0.000407933	0	0
g__Gonium	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000122287	0	0	0	0	3.76053E-05	0	0	9.01605E-05	0.000127302	0	0	7.98191E-05	0	0	0	0	0.000282955	6.1344E-05	0	0	0	0	0	0	0	0	0	0	2.22425E-05	0	0	0	0	9.298E-05	0	0	0.000374865	0	0	0
g__Chloroparvula	0	0.000191195	0	0	0	0	0	0.000791118	0	2.81532E-05	7.07264E-05	0.000855879	5.16249E-05	0.00018343	0.000628253	4.36719E-05	0	0	7.52106E-05	0	0	0	0	0	0	0	0.001088714	0	0	0	0	6.1344E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000140574	6.27589E-05	0	0
g__Chloropicon	0	0	0	0	3.16526E-05	0	0	0	2.75976E-05	0	7.07264E-05	0	0	0	0	0	0	0	0.002481949	0.000315424	0.001292076	9.01605E-05	0.006831876	0.002800983	0.009440029	7.98191E-05	0	6.19924E-05	0.003620812	0.01020899	0.002299013	0.000766801	0.0042192	0.003472324	0.001397853	0.00271674	0	0	0	0	0	0	6.67275E-05	0	0	0	0	0	9.85562E-05	0	0.002014901	0.000690348	0	0
g__Pedinomonas	0	0	0	0	3.16526E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000338448	0	4.45543E-05	0	0	0	0	0	0.000263931	0	0	8.01753E-05	0	0	0	0	0	0	0.000756582	7.05393E-05	0.007099895	0.011586941	0.000208355	0.003307497	0.010809849	0.006656666	0.000344828	0.000768574	0.003062052	0.050999535	0.001133396	0.001028665	0.006138419	0.023691477	9.30146E-05	0.014098261
g__Chlorella	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000122287	0	0	0	0	0.007295427	0.004801458	0.001492571	0.000540963	0.001654927	0.000540541	0.007280996	0.001303712	0.000362905	0.018349761	0.005300029	0.004302742	0.003253988	0.006318437	0.00483967	0.003676578	0.007078488	0.002117459	0.000201755	0.000211618	0.020090531	0.01477074	0.00041671	0.00409261	0.002290976	0.006594162	0.001551724	0.004269855	0.004172796	0.007856811	0.001576898	0.005006172	0.000796589	0.006370026	0.000139522	0.009703998
g__Prototheca	0	0	3.7262E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.52106E-05	0.000175236	6.68315E-05	6.0107E-05	6.3651E-05	0	0.000229684	0.000266064	0.001517601	3.09962E-05	5.24755E-05	0.000187076	0.000247586	0.000276048	0.000248188	0	0.000803022	0.000119856	0	0	0	0.000104387	0	0.000835227	0	0.00031252	0	0	0	0	0.00024639	0.000205733	0	0.000596209	0	0
g__Gonatozygon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000413658	0	0	0	0	0.000687961	0	5.32127E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__norank_c__Acetothermiia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.45092E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000281934	0	0	0	0	0.000159833	0	0	0	0	0	0	0	0
g__Paludibaculum	0.000306681	0.002172727	0	0.000561388	0.001568845	0.00096786	0	0.002248178	0.001286001	0.001886721	0.001168749	0.00303781	0.001817049	0.000446485	0.000794866	0.00303329	0.001442472	0	0.00028931	0.00204579	0.000331435	0.000335761	0.000128343	0.000315836	0.001323852	0.000347963	0.000247298	0.000201095	0.003035177	0.00250143	0.001202954	0.001575491	0.002360042	0.005617433	0.002397547	0.000228921	0.000490085	0.000892304	0.00025672	0.000407816	0	0.000584305	0.001186175	0.000423782	0	0.000454909	0.000700133	0.000842011	0.000986193	0.001047336	0.003146488	0.000818751	0.0017842	0.000481576
g__marine_group	0.000715588	0.012449415	0	0.000453889	0.006974107	0.00190031	0	0.006411962	0.001158814	0.000893048	0.001415985	0	0.004555602	0.008563349	0.01430759	0.000139026	0.027969292	0	0.028385761	0.01492223	0.005421337	0.005682112	0.010442432	0.005495547	0.024774945	0.008954254	0.005234469	0.007795403	0.015151698	0.011908405	0.01318485	0.011743367	0.011516488	0.015899919	0.024761555	0.004453555	0.004046344	0.000182103	0.00028881	0.000503772	0.000664559	0.001041587	0.001295248	0.000664307	0.000384007	0.001954878	0.000507596	0.001220916	0.002455815	0.001761429	0.000371215	0.000790997	0.000380239	0.00039902
g__norank_o__Vicinamibacterales	0.001669705	0.003428995	0	0.000764444	0.003216791	0.004520614	9.75939E-05	0.00042569	0.007263786	0.002804926	0.002899398	0.000751045	0.000298515	0.00020607	0.000900069	0	0.004144052	0	0.001079349	0.009376536	0.0040009	0.002957281	0.001481775	0.001553913	0.004047205	0.005532616	0.000381251	0.002590582	0.001064126	0.007171654	0.005812292	0.011637452	0.011632556	0.009975787	0.007703595	0.003236111	0.000904773	0.001074407	0.012119332	0.001943122	0.001147874	0.001803724	0.011561797	0.003424618	0.000576011	0.000823754	0.002607996	0.006090544	0.001643655	0.008918228	0.001202029	0.012947364	0.001082219	0.010594678
g__norank_f__Vicinamibacteraceae	0.002896427	0.00651818	0.000823649	0.003009997	0.014515108	0.004107503	0	0.001423402	0.007829061	0.005911727	0.004034433	0.001031286	0.000545115	0.000652555	0.002279395	0.001112206	0.007652438	0	0.00532998	0.010880793	0.008463441	0.005798337	0.002858543	0.004244836	0.009456086	0.004952677	0.000638853	0.002413145	0.003144008	0.024295807	0.013935207	0.018561669	0.024219445	0.031928975	0.019219683	0.008012237	0.014137073	0.001948501	0.009017297	0.005157669	0.003322794	0.006655997	0.01277524	0.010056237	0.001468263	0.002766337	0.003885738	0.008335906	0.00141161	0.004966914	0.001290414	0.015278722	0.001213841	0.01908418
g__CL500-29_marine_group	0.133712709	0.132649594	0.049344076	0.122729064	0.203897063	0.236016194	0.037893037	0.109974459	0.278751307	0.288643196	0.037501124	0.049221491	0.035120964	0.048712636	0.088206759	0.05074442	0.084934722	0.028997941	0.100958061	0.201871296	0.209218641	0.16395475	0.14541233	0.164158929	0.182212472	0.161628932	0.063442179	0.1269385	0.135954146	0.150870844	0.310231062	0.198697241	0.225648367	0.116916868	0.171811131	0.100194583	0.311166403	0.18991514	0.210136169	0.172793897	0.089453652	0.163922973	0.131338196	0.127535535	0.067799864	0.16309092	0.159822866	0.132013248	0.058494798	0.083326721	0.183556946	0.138646425	0.101977244	0.164313823
g__norank_o__Microtrichales	0.009796739	0.001802024	0.004462681	0.006067773	0.002874018	0.00435537	0.001446164	0.006172511	0.008436732	0.005458914	0.001359795	0.001199431	0.001012356	0.000423588	0	0.001946361	0.001173537	0.000191772	0.002626045	0.001895364	0.003929878	0.004494034	0.001528445	0.003221527	0.002912474	0.003560824	0.001607435	0.001064623	0.00444998	0.004537169	0.001417342	0.001270984	0.002372938	0.003744956	0	0.003922874	0.003129006	0.00122009	0.001411961	0.002530856	0.000745111	0.004483906	0.000858954	0.00176385	0.00083578	0.003922051	0.0010502	0.001375284	0.000986193	0.001047336	0.00153789	0.001831781	0.00070198	0.001898786
g__Mycobacterium	0.00039187	0.001235674	0	0.007608605	0.002267574	0.001817688	0.000896089	0.004509658	0.002868771	0.00216344	0.002326261	0.017217994	0.005503063	0.003514637	0.002010544	0.023343697	0.004828615	0.004007025	0.003749903	0.002396783	0.003267007	0.007218865	0.000851729	0.002728823	0.003870691	0.002110977	0.000968583	0	0.009347377	0.006679351	0	0.0086983	0.003236997	0.002550444	0.005594277	0.002403671	0.001005303	0.009432931	0.002321178	0.00369433	0.082808063	0.010911262	0.001036199	0.00144315	0.000982607	0.004254011	0.003483162	0.001375284	0.021618904	0.015138772	0.013752629	0.001359959	0.012898886	0.002270288
g__Candidatus_Planktophila	0	0	0	0.000501666	0.004521964	0.000849828	0	0.000598627	0	0.000251563	0	0	0	0	0	0	0	0	0.005841836	0.000300851	0.002249026	0.001381786	0.003931955	0.00279199	0.000353027	0.001264266	0.000958279	0.003477767	0.00429278	0.004018255	0	0	0.001031712	0	0	0.001904207	0	0	0	0	0	0	0	0	0	0.001180304	0	0.000112268	0.00027072	0	0	2.77543E-05	0	0.000151353
g__hgcI_clade	0.01390285	0.090873518	0.012489517	0.037541358	0.245280283	0.074902919	0.011595926	0.101114777	0.146123626	0.125668214	0.014260991	0.010660359	0.120613124	0.197071518	0.148698407	0.01146331	0.174404675	0.002654528	0.226028998	0.133217004	0.094399924	0.059429723	0.112264899	0.1019266	0.193219356	0.126009093	0.075322775	0.112294025	0.118964412	0.260162061	0.150905193	0.142800402	0.133697012	0.1508636	0.205900849	0.078676004	0.341086733	0.014258659	0.029704665	0.034820261	0.075497916	0.041828621	0.083877565	0.05991364	0.031093291	0.091387472	0.032258629	0.042984647	0.045210195	0.026167542	0.042742748	0.047196126	0.018002866	0.100635681
g__norank_f__Sporichthyaceae	0	0.001791727	0	0.003810275	0.01647946	0.00431996	0.000346015	0.013462459	0.011150052	0.011005874	0.000584375	0	0.003802824	0.004625125	0.003424938	0.000417077	0.003104983	0	0.029409474	0.009196025	0.029343876	0.015819515	0.041594717	0.020731476	0.011876844	0.033798831	0.046265289	0.026296178	0.024075843	0.027356068	0.007753692	0.006791823	0.007041436	0.014156578	0.005175034	0.012028761	0.001533087	0.000109262	0.001187331	0.002039078	0.001550637	0.001105099	0.001172541	0.003081011	0.001750621	0.018184054	3.50067E-05	0.001305117	0.000889508	0.000460193	0	0.001165679	0.000146246	0.002889458
g__Aurantimicrobium	0	0	0	0.002173887	0	0.000814419	0	0	0	0.00122008	0	0.000863142	0	0	0	0	0	0	0.001390913	0	0.001278394	0.001846686	0.00122509	0.000745373	0	0.001449847	0.000216386	0.000969989	0	0	0	0	0.000760888	0.001824052	0	0.00050987	0	0	0	0	0	0	0	0	0	0	0	0	0.000154697	0	0.000247477	0	0.000102372	0
g__Candidatus_Aquiluna	0	0.001307755	0	0.001552776	0.003256341	0.001510806	0.001889772	0.009006013	0.006373477	0.00406274	0	0.000392337	0.001466618	0.001602766	0.001203988	0.001314426	0.002102587	0.000383544	8.90185E-05	0	0.000272251	0	0.000315023	0	0	0.00018558	0.000432771	0.000283899	0	0	0	0	0	0	0	0.000468248	0.002073437	0.001019776	0.0006418	0.001067517	0.000563868	0.001663999	0.000627173	0.000950647	0.000937429	0.002262249	0.001785339	0.000575374	0.005182349	0.001428186	0.004967209	0.001137925	0.003480652	0.000990671
g__Candidatus_Planktoluna	0	0.000319216	0	0.000298611	0	0	0	0	0	0	0.000213522	0	0	0	0	0	0.000550095	0	0.000567493	0	0.000923285	0.00069735	0.000886732	0.000454804	0	0.001183075	0.001875341	0.000934502	0	0.000159666	0	0	0	0	0	0.00020811	0.00054035	0	0	0	0	0	0	0	0	0	5.251E-05	7.01676E-05	0	0	0	0.00019428	0.00019012	0
g__Rhodoluna	0	0	0	0	0	0	0.000115338	0	0	0	0	0	0	0	0	0	0	0	0.00016691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__norank_o__PeM15	0.003100881	0.00223451	0	0.004132774	0.008622053	0.003529148	0.001889772	0.008926196	0.011051129	0.007559463	0.001179987	0.003721598	0.001051293	0.000881521	0.000654596	0.004537297	0.001906997	0.000767088	0.001936152	0.005866602	0.005172761	0.005088073	0.001925141	0.003537363	0.007779207	0.004523522	0.002205072	0.001395839	0.013035539	0.009207393	0.010540734	0.008989567	0.013167228	0.009265537	0.010323865	0.003798008	0.004988816	0.001638926	0.002492325	0.00340646	0.001006907	0.003493128	0.001663372	0.0025656	0.00117461	0.00361468	0.001382763	0.001613854	0.00168233	0.001412317	0.001838398	0.003247249	0.001813449	0.00262803
